SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523838,SIMPLX INFRA,B ,Q,179.80,182.95,174.00,180.90,177.00,168.30,61,244,42971.00,
519566,SIMRAN FARMS,B ,Q,21.25,21.25,18.75,19.75,19.50,18.55,43,4331,86005.00,
523023,SINCLAIR HOT,B ,Q,262.00,277.20,260.80,277.20,277.20,264.55,4,65,17046.00,
505729,SINGER INDIA,B ,Q,31.00,32.45,31.00,31.80,32.10,30.50,34,3392,108040.00,
502742,SINTEX IND. ,A ,Q,64.10,69.40,63.80,69.00,69.00,62.90,12027,1969886,131771956.00,
532879,SIR SHADI LA,B ,Q,46.00,48.00,46.00,48.00,48.00,48.00,3,11,518.00,
502455,SIRPUR PAPER,B ,Q,35.05,36.00,35.00,35.35,35.50,34.15,31,4169,147181.00,
512589,SITA ENTER. ,B ,Q,15.65,15.65,15.65,15.65,15.65,15.90,1,500,7825.00,
532961,SITA SHREE  ,B ,Q,5.80,6.50,5.80,6.31,6.33,6.10,57,6165,39189.00,
503811,SIYARAM SILK,B ,Q,252.00,263.70,252.00,260.25,260.25,247.00,190,1796,465940.00,
533206,SJVN        ,B ,Q,19.15,19.35,19.05,19.30,19.30,19.05,214,47425,911335.00,
500472,SKF INDIA   ,B ,Q,567.00,578.95,561.35,570.10,570.10,560.05,142,6182,3519693.00,
532143,SKM EGG PROD,B ,Q,6.85,6.95,6.70,6.70,6.70,6.57,20,2109,14399.00,
526508,SKS LOG LTD ,B ,Q,10.83,10.84,10.83,10.84,10.84,9.93,3,400,4335.00,
533228,SKS MICRO   ,B ,Q,102.00,103.35,99.30,99.85,99.85,100.85,3947,226362,22889620.00,
526479,SKY INDUST. ,T ,Q,29.25,29.25,27.30,28.25,28.45,28.70,11,642,17659.00,
505650,SKYL MILLAR ,B ,Q,4.51,4.51,4.45,4.45,4.46,4.30,9,1052,4726.00,
522042,SM ENERGY   ,T ,Q,3.87,3.87,3.86,3.86,3.86,3.70,2,77,297.00,
532419,SMARTLINK   ,T ,Q,48.00,48.80,46.25,48.50,48.50,47.00,46,4717,227835.00,
512048,SMIL        ,B ,Q,23.15,23.55,22.35,23.25,22.50,23.00,347,352860,7996048.00,
505192,SMLISUZU    ,B ,Q,401.00,405.00,401.00,405.00,405.00,401.00,3,16,6440.00,
517214,SMOBILITY   ,B ,Q,83.60,84.90,80.00,80.15,80.15,81.65,77,688,55883.00,
590046,SMRUTHI ORG ,B ,Q,175.00,175.00,171.05,174.05,172.00,170.40,18,771,134119.00,
505827,SNL BEARINGS,B ,Q,30.60,30.60,30.60,30.60,30.60,30.25,1,5,153.00,
514240,SNS TEXTILES,B ,Q,2.30,2.30,2.30,2.30,2.30,2.42,1,10,23.00,
532784,SOBHA DEV   ,B ,Q,208.50,211.45,207.00,208.50,208.55,204.95,359,5654,1181291.00,
524719,SOCRUS BIO  ,T ,Q,2.39,2.63,2.39,2.63,2.63,2.51,8,2050,5151.00,
530651,SOFT INF SOL,T ,Q,30.45,30.65,28.60,28.60,28.60,30.10,34,6292,182214.00,
532344,SOFTSOL (I) ,T ,Q,63.75,64.00,63.75,64.00,64.00,63.50,4,4100,261400.00,
532293,SOFTWARE TEC,B ,Q,4.14,4.14,3.55,3.78,3.89,3.55,99,9167,34227.00,
532725,SOLAR IND   ,B ,Q,783.00,783.00,768.00,768.00,768.00,774.40,8,115,89130.00,
522152,SOLITAIR MAC,B ,Q,16.45,17.08,16.00,16.98,17.08,16.60,8,385,6350.00,
507514,SOM DISTILL.,B ,Q,155.00,155.00,145.05,147.95,145.05,150.90,331,3546,525878.00,
521034,SOMA TEXTILE,T ,Q,4.59,4.63,4.59,4.63,4.63,4.41,24,5837,26917.00,
531548,SOMANY CRAM ,B ,Q,37.00,37.70,33.80,37.15,37.50,34.60,46,2024,73566.00,
511571,SOMDATT FIN ,B ,Q,7.68,7.68,7.68,7.68,7.68,7.32,2,200,1536.00,
533001,SOMI CONVEY ,B ,Q,10.45,10.45,10.45,10.45,10.45,9.96,3,1000,10450.00,
520057,SONA KOYO ST,B ,Q,11.55,12.25,11.55,12.12,12.12,11.47,208,28649,344296.00,
532221,SONATA SOFT.,B ,Q,22.70,24.40,22.50,24.05,24.05,22.40,1193,155711,3715750.00,
524667,SOTL        ,B ,Q,412.15,435.00,412.15,427.85,426.30,407.80,156,436,187307.00,
532218,SOUTH IND.BK,B ,Q,20.55,21.10,20.55,21.05,20.95,20.55,610,302041,6324503.00,
590030,SOUTH PET(PS,B ,Q,18.15,19.49,18.15,18.55,18.55,17.98,1440,296005,5561814.00,
532669,SOUTHBIOTEC ,B ,Q,5.75,5.98,5.40,5.71,5.72,5.78,44,6297,35562.00,
531645,SOUTHERN ISP,B ,Q,3.05,3.14,3.00,3.05,3.05,3.00,159,129663,393943.00,
523826,SOVEREIGN DI,B ,Q,2.90,2.90,2.88,2.88,2.88,3.00,9,10000,28804.00,
532025,SOWBH MEDIA ,T ,Q,22.05,22.05,22.05,22.05,22.05,21.40,1,50,1102.00,
524727,SPAN DIAGNOS,B ,Q,35.55,35.55,30.45,30.55,30.55,29.75,21,605,18909.00,
508976,SPANCO      ,B ,Q,92.90,103.70,90.50,100.45,99.50,94.30,532,32335,3191504.00,
502465,SPECIALITY P,T ,Q,6.76,6.76,6.13,6.76,6.76,6.44,14,3950,25043.00,
512413,SPECTACLE   ,B ,Q,4.88,4.88,4.50,4.75,4.75,4.69,21,76270,365887.00,
531982,SPECTR FOOD ,T ,Q,73.60,73.60,73.60,73.60,73.60,75.10,2,2,147.00,
513687,SPECTRA IND.,B ,Q,7.28,7.28,7.28,7.28,7.28,6.94,1,190,1383.00,
517166,SPEL SEMICON,B ,Q,9.00,9.15,8.61,9.07,9.07,8.60,19,7896,71156.00,
526161,SPENTA INT. ,B ,Q,17.50,17.50,17.50,17.50,17.50,17.00,1,2,35.00,
521082,SPENTEX INDS,B ,Q,7.00,7.19,7.00,7.19,7.19,7.01,4,150,1059.00,
526827,SPICE ISLAND,B ,Q,13.30,13.31,12.02,12.99,13.00,12.99,18,213,2701.00,
555555,SPICE-ETF   ,B ,Q,145.00,162.00,145.00,162.00,162.00,152.00,2,50,7675.00,
500285,SPICEJET LTD,B ,Q,17.50,18.45,17.50,18.25,18.25,17.40,4627,2287577,41389195.00,
532651,SPL INDS    ,B ,Q,2.69,2.73,2.65,2.65,2.65,2.60,12,11821,31832.00,
500402,SPMLINFRA   ,B ,Q,89.85,91.00,84.10,85.60,84.70,80.35,596,6908,595824.00,
532249,SQL STAR INT,B ,Q,4.60,4.80,4.51,4.67,4.80,4.60,23,12927,60142.00,
531149,SRANG MARK  ,B ,Q,3.00,3.00,3.00,3.00,3.00,2.86,1,5,15.00,
530037,SREE JAYA.AU,T ,Q,13.60,13.60,13.21,13.21,13.21,13.90,2,3,40.00,
532842,SREE RAYALA ,B ,Q,33.30,37.00,33.30,35.70,35.00,34.30,30,1298,45999.00,
532701,SREE SAKTHI ,B ,Q,23.50,24.50,23.50,23.80,23.80,23.60,14,1933,46331.00,
507753,SREE.RAY.ALK,B ,Q,9.98,9.98,9.12,9.43,9.43,9.39,15,4183,38992.00,
523756,SREIINFRA   ,B ,Q,27.50,28.90,27.30,28.65,28.65,27.10,1550,341873,9666409.00,
503806,SRF LIMITED ,B ,Q,254.15,265.70,254.00,264.95,264.10,255.95,319,4604,1211618.00,
524410,SRHHL IND   ,B ,Q,4.30,4.30,3.75,3.82,4.25,4.14,4,805,3316.00,
530943,SRI ADHIKARI,B ,Q,70.00,71.30,70.00,71.15,70.75,69.70,163,31557,2227525.00,
502180,SRI DIGV CEM,B ,Q,8.97,8.97,8.50,8.89,8.95,8.29,47,46343,394747.00,
521234,SRI NACHAMAI,B ,Q,12.01,13.13,12.00,13.06,13.00,12.51,9,1228,14993.00,
521178,SRI RAMK.MIL,B ,Q,13.75,13.75,13.75,13.75,13.75,12.50,3,300,4125.00,
526893,SRINIVASA HA,B ,Q,78.90,78.90,78.90,78.90,78.90,74.50,1,1,78.00,
700102,SRRAYL ALKPS,B ,P,5.60,5.65,4.70,5.01,5.01,4.71,6,1027,5748.00,
533569,SRS LIMITED ,B ,Q,34.70,34.70,34.05,34.40,34.40,34.05,304,40063,1373160.00,
533305,SRS REAL    ,B ,Q,34.00,34.00,33.85,33.95,33.90,33.95,488,389823,13216855.00,
522296,SS FORG ENG.,T ,Q,1.98,1.98,1.98,1.98,1.98,1.89,1,1000,1980.00,
530821,SSPDL LTD   ,B ,Q,13.40,14.95,13.06,14.21,14.20,13.60,20,6467,88029.00,
501061,ST.BANK BIKA,B ,Q,326.15,334.95,326.15,330.70,330.70,325.60,1206,102249,33854546.00,
513262,ST.STR.WHEEL,B ,Q,196.50,209.50,196.00,204.40,204.40,194.35,1253,36640,7491061.00,
580001,STAN CHART  ,B ,I,83.95,84.95,83.10,83.35,83.10,84.60,163,7599,636071.00,
506105,STANROSE MAF,T ,Q,72.00,72.00,72.00,72.00,72.00,71.50,1,50,3600.00,
516022,STAR PAPER  ,B ,Q,16.75,17.15,16.51,17.15,17.15,17.45,21,2194,37085.00,
500112,STATE BANK  ,A ,Q,1651.00,1708.50,1651.00,1702.05,1702.05,1637.75,26786,594442,1003793744.00,
532200,STATE BNK MY,B ,Q,483.00,498.00,483.00,492.25,492.25,479.20,280,2608,1279431.00,
532191,STATE BNK TR,B ,Q,507.00,513.75,502.00,509.80,508.00,500.10,407,105468,53781995.00,
512531,STC INDIA   ,B ,Q,230.00,232.35,218.65,221.40,221.40,226.50,21834,946931,212340299.00,
530017,STD.INDUST. ,T ,Q,18.60,18.90,18.50,18.90,18.90,18.00,35,9826,185433.00,
500113,STEEL AUTH. ,A ,Q,85.65,88.30,85.65,88.05,88.05,84.95,4507,525096,45942654.00,
590037,STEEL EXCH  ,B ,Q,45.40,49.00,45.40,47.90,49.00,45.55,73,24532,1153984.00,
513517,STEELCAST   ,B ,Q,95.45,108.70,95.45,105.90,106.50,98.00,27,1675,174687.00,
500399,STEELCO GUJ.,B ,Q,4.53,4.55,4.20,4.55,4.55,4.14,34,10009,44907.00,
513530,STELCO STRIP,B ,Q,3.32,3.32,3.12,3.32,3.32,3.17,4,260,857.00,
532374,STER TECH   ,B ,Q,34.00,35.90,33.80,34.90,34.90,33.60,1868,229293,7993849.00,
508998,STERL INTER ,B ,Q,50.45,50.45,50.45,50.45,50.45,53.10,14,903,45556.00,
512299,STERL.BIOTEC,B ,Q,14.30,14.30,14.30,14.30,14.30,15.00,206,129555,1852636.00,
523363,STERL.HOL.RS,B ,Q,84.50,88.85,84.50,86.15,86.15,83.80,902,679469,57764352.00,
530759,STERL.TOOLS ,B ,Q,96.30,101.90,96.25,101.00,101.00,100.40,7,600,59830.00,
500900,STERLITE IN ,A ,Q,94.90,96.25,94.10,95.85,95.85,94.45,11071,1834173,175035568.00,
504960,STEWARTS    ,B ,Q,32.55,34.75,32.55,34.75,34.75,33.25,7,283,9614.00,
934799,STF NCD3 RE ,F ,D,1027.01,1027.01,1027.01,1027.01,1027.01,1048.00,1,10,10270.00,
934802,STF NCD4 RE ,F ,D,1120.06,1120.06,1120.06,1120.06,1120.06,1100.00,1,10,11200.00,
